,Position,Salary Estimate,Rating,Organization,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
262,Data Scientist I/II,₹498K - ₹900K (Glassdoor Est.),-1,"Philips
3.9",Bangalore,-1,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1
263,Data Scientist I/II,₹498K - ₹900K (Glassdoor Est.),-1,"Philips
3.9",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
264,Lead Data Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"Luxoft
4.2",Bangalore,-1,10000+ Employees,2000,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
265,Data Scientist & Business Development,₹498K - ₹900K (Glassdoor Est.),-1,"Grid Logic Software Private Limited
4.7",Hyderābād,-1,501 to 1000 Employees,2010,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
266,Data Scientist,₹498K - ₹900K (Glassdoor Est.),-1,big tree,Mumbai,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
267,Senior Data Scientist-1,₹498K - ₹900K (Glassdoor Est.),-1,"Paypal
4.0",Chennai,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
268,Data Scientist - GoMerchant,₹498K - ₹900K (Glassdoor Est.),-1,"GO-JEK
4.2",Bangalore,-1,1001 to 5000 Employees,2010,Company - Private,Transportation Management,Transportation & Logistics,Unknown / Non-Applicable,-1
269,Data Scientist - GoMerchant,₹498K - ₹900K (Glassdoor Est.),-1,"GO-JEK
4.2",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
270,Data Analyst,₹498K - ₹900K (Glassdoor Est.),-1,"Autodesk
4.2",Bangalore,-1,5001 to 10000 Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1
271,Senior Data Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"Microsoft
4.4",Hyderābād,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
272,ID&A - Sr. Machine Learning Engineer,₹498K - ₹900K (Glassdoor Est.),-1,"Shell
4.1",Bangalore,-1,10000+ Employees,1907,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
273,ID&A - Sr. Machine Learning Engineer,₹498K - ₹900K (Glassdoor Est.),-1,"Shell
4.1",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
274,Manager - Data Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
275,Data & Applied Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"Microsoft
4.4",Hyderābād,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
276,Analyst/Senior Analyst - Data Science,₹498K - ₹900K (Glassdoor Est.),-1,"Tredence
3.7",Bangalore,-1,501 to 1000 Employees,2013,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1
277,Analyst/Senior Analyst - Data Science,₹498K - ₹900K (Glassdoor Est.),-1,"Tredence
3.7",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
278,Data Analyst/Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"itForte
5.0",Gurgaon,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
279,Data Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"Emerging India Group
1.0",Noida,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
280,Business Analyst - Data Scientist,₹498K - ₹900K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
281,Data Analyst,₹367K - ₹590K (Glassdoor Est.),-1,"Parexel
3.9",Hyderābād,-1,10000+ Employees,1982,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),-1
282,Senior Analyst-Data Science,₹367K - ₹590K (Glassdoor Est.),-1,"Accenture
3.9",Bangalore,-1,10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD),-1
283,Senior Analyst-Data Science,₹367K - ₹590K (Glassdoor Est.),-1,"Accenture
3.9",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
284,Data Scientist – Module Lead,₹367K - ₹590K (Glassdoor Est.),-1,"WinWire
4.3",Bangalore,-1,501 to 1000 Employees,2006,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
285,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Kredx
4.2",Bangalore,-1,51 to 200 Employees,-1,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
286,Sr Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Morgan Stanley
4.0",Bangalore,-1,10000+ Employees,1935,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
287,Data Analyst,₹367K - ₹590K (Glassdoor Est.),-1,"DataMetica
3.8",Pune,-1,201 to 500 Employees,2013,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
288,Staff Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Infoblox
4.1",Bangalore,-1,1001 to 5000 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),-1
289,Principal Data scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Fanatics Inc.
3.5",Hyderābād,-1,5001 to 10000 Employees,1996,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
290,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Walmart
3.3",Bangalore,-1,1001 to 5000 Employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),-1
291,Data Scientist - Technology Development,₹367K - ₹590K (Glassdoor Est.),-1,"Micron Technology
3.7",Hyderābād,-1,10000+ Employees,1978,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
292,Data Scientist - Technology Development,₹367K - ₹590K (Glassdoor Est.),-1,"Micron Technology
3.7",Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
293,Data Scientist - Technology Development,₹367K - ₹590K (Glassdoor Est.),-1,"Micron Technology
3.7",Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
294,Data Analyst - Product,₹367K - ₹590K (Glassdoor Est.),-1,"Saavn
4.4",Mumbai,-1,-1,-1,-1,-1,-1,-1,-1
295,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"[24]7.ai
4.3",Bangalore,-1,10000+ Employees,2000,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
296,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"[24]7.ai
4.3",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
297,ML Engineer - Oracle Cloud Infrastructure - Data Science - SDE3 (JoinOCI-SDE),₹367K - ₹590K (Glassdoor Est.),-1,Oracle,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
298,ML Engineer - Oracle Cloud Infrastructure - Data Science - SDE3 (JoinOCI-SDE),₹367K - ₹590K (Glassdoor Est.),-1,Oracle,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
299,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"KeepTruckin
3.2",Bangalore,-1,501 to 1000 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),-1
300,Delivery Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Microsoft
4.4",Hyderābād,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
301,Data Scientist 2,₹367K - ₹590K (Glassdoor Est.),-1,"Microsoft
4.4",Noida,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
302,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Wolters Kluwer
3.4",Pune,-1,10000+ Employees,1836,Company - Public,Consulting,Business Services,$2 to $5 billion (USD),-1
303,Sr. Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"NetApp
4.2",Bangalore,-1,10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),-1
304,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"MiQ Digital
3.9",Bangalore,-1,501 to 1000 Employees,2010,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
305,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Poshmark
4.8",Chennai,-1,201 to 500 Employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
306,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Poshmark
4.8",Chennai,-1,-1,-1,-1,-1,-1,-1,-1
307,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"Larsen & Toubro Infotech Limited
3.6",India,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
308,Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,Acies Global,Remote,-1,201 to 500 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
309,Senior Data Scientist,₹367K - ₹590K (Glassdoor Est.),-1,"TCG Digital
3.0",India,-1,201 to 500 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
310,Data scientist LYON H/F,₹367K - ₹590K (Glassdoor Est.),-1,"Capgemini
4.0",Ara,-1,10000+ Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
311,Data Analyst,₹179K - ₹315K (Glassdoor Est.),-1,"47billion
4.2",Indore,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
312,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"ALGOANALYTICS
4.4",Pune,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
313,Data Scientist - Predictive Sales,₹179K - ₹315K (Glassdoor Est.),-1,HP,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
314,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Ormae
4.3",Bangalore,-1,1 to 50 Employees,2016,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Less than $1 million (USD),-1
315,Data Scientist Specialist,₹179K - ₹315K (Glassdoor Est.),-1,"Visteon Corporation
2.9",Pune,-1,10000+ Employees,2000,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
316,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Oracle
3.8",Bangalore,-1,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),-1
317,Lead Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Target
4.2",Bangalore,-1,10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail,$10+ billion (USD),-1
318,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Cambridge Technology
3.1",Hyderābād,-1,201 to 500 Employees,1999,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1
319,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Signify
3.7",Bangalore,-1,10000+ Employees,1891,Company - Public,Consumer Products Manufacturing,Manufacturing,$5 to $10 billion (USD),-1
320,Procurement Data Scientist - NLP,₹179K - ₹315K (Glassdoor Est.),-1,"Novartis
4.1",Hyderābād,-1,10000+ Employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
321,Procurement Data Scientist - NLP,₹179K - ₹315K (Glassdoor Est.),-1,"Novartis
4.1",Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
322,Customer Analytics-Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,skilora,Bangalore,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
323,Quantum Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Kirat IT Solutions
4.0",Calcutta,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
324,Sr. Associate Consultant–Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Eli Lilly
3.9",Bangalore,-1,10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1
325,Sr. Associate Consultant–Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Eli Lilly
3.9",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
326,Data Scientist-III,₹179K - ₹315K (Glassdoor Est.),-1,"General Mills
4.0",Mumbai,-1,10000+ Employees,1866,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
327,Data Scientist-III,₹179K - ₹315K (Glassdoor Est.),-1,"General Mills
4.0",Mumbai,-1,-1,-1,-1,-1,-1,-1,-1
328,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Anblicks
4.1",Vijayawāda,-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1
329,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Anblicks
4.1",Vijayawāda,-1,501 to 1000 Employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
330,Senior Manager - Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
331,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Ecolab
3.7",Pune,-1,10000+ Employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,$10+ billion (USD),-1
332,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Cognizant
3.7",Hyderābād,-1,10000+ Employees,1994,Company - Public,-1,-1,$10+ billion (USD),-1
333,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Course5
3.3",Bangalore,-1,1001 to 5000 Employees,2000,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
334,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"TEG Analytics
3.0",India,-1,51 to 200 Employees,2008,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
335,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"TEG Analytics
3.0",India,-1,-1,-1,-1,-1,-1,-1,-1
336,Data Scientist-Advanced Analytics,₹179K - ₹315K (Glassdoor Est.),-1,"Harjai Computers Private Limited
4.2",Mumbai,-1,201 to 500 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
337,Principal Product Developer - India (Data scientist),₹179K - ₹315K (Glassdoor Est.),-1,"BMC Software
4.0",Pune,-1,5001 to 10000 Employees,1980,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1
338,Machine Learning Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Phenom People
4.2",Hyderābād,-1,501 to 1000 Employees,2011,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
339,Machine Learning Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Phenom People
4.2",Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
340,Senior Data Scientist,₹179K - ₹315K (Glassdoor Est.),-1,"Bewakoof
3.7",Bangalore,-1,1 to 50 Employees,2012,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1
341,Senior Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,skilora,Remote,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
342,Principal Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"upGrad Education Private Limited
3.4",Bangalore,-1,1001 to 5000 Employees,2015,Company - Private,Education Training Services,Education,$10 to $25 million (USD),-1
343,Senior Data and Applied Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Microsoft
4.4",Bangalore,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
344,Senior Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"HDFC Bank
3.7",Mumbai,-1,10000+ Employees,1995,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
345,Machine Learning and Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Camsdata
4.4",Mumbai,-1,51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),-1
346,Machine Learning and Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Camsdata
4.4",Mumbai,-1,-1,-1,-1,-1,-1,-1,-1
347,Data Scientist Senior H/F,₹400K - ₹980K (Glassdoor Est.),-1,"Equancy
3.9",Mumbai,-1,51 to 200 Employees,2002,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),-1
348,Expert/Lead Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"TomTom
3.9",Pune,-1,5001 to 10000 Employees,1991,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),-1
349,Senior Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,Tenzai,Bangalore,-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
350,Data Analyst,₹400K - ₹980K (Glassdoor Est.),-1,"Citi
3.9",Pune,-1,10000+ Employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1
351,Data Analyst,₹400K - ₹980K (Glassdoor Est.),-1,"Canvera
3.2",Bangalore,-1,501 to 1000 Employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),-1
352,Data Analyst,₹400K - ₹980K (Glassdoor Est.),-1,Gaddiel Technologies,Tiruchchirāppalli,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
353,Lead Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Clarivate Analytics
3.7",Bangalore,-1,5001 to 10000 Employees,2016,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
354,Senior Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,CrossML,Chandigarh,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
355,Associate Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Gap Inc.
3.7",Hyderābād,-1,10000+ Employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),-1
356,Data Scientist-1,₹400K - ₹980K (Glassdoor Est.),-1,"Paypal
4.0",Chennai,-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
357,Manager Data Scientist - Machine Learning/NLP/NLU/Python,₹400K - ₹980K (Glassdoor Est.),-1,"Softobiz Technologies
4.1",SAS Nagar,-1,51 to 200 Employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
358,Manager Data Scientist - Machine Learning/NLP/NLU/Python,₹400K - ₹980K (Glassdoor Est.),-1,"Softobiz Technologies
4.1",SAS Nagar,-1,-1,-1,-1,-1,-1,-1,-1
359,Junior Data Scientist/ta,₹400K - ₹980K (Glassdoor Est.),-1,WSD Consultant,Gurgaon,-1,Unknown,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
360,Junior Data Scientist/ta,₹400K - ₹980K (Glassdoor Est.),-1,WSD Consultant,Gurgaon,-1,-1,-1,-1,-1,-1,-1,-1
361,Senior Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Michael Page
3.6",Gurgaon,-1,201 to 500 Employees,-1,Company - Private,Security Services,Business Services,Less than $1 million (USD),-1
362,Senior Data Scientist - Data Sciences,₹400K - ₹980K (Glassdoor Est.),-1,"GEP
3.8",Hyderābād,-1,1001 to 5000 Employees,1999,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
363,urgent opportunity for data scientist in bangalore,₹400K - ₹980K (Glassdoor Est.),-1,"JB Consultants
2.5",Bangalore,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
364,Transformation Data Analyst,₹400K - ₹980K (Glassdoor Est.),-1,"Capco
4.0",Bangalore,-1,5001 to 10000 Employees,1998,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),-1
365,Data Scientist - Analytics,₹400K - ₹980K (Glassdoor Est.),-1,"Standard Chartered
3.8",Bangalore,-1,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$10 to $25 million (USD),-1
366,Data Scientist - Analytics,₹400K - ₹980K (Glassdoor Est.),-1,"Standard Chartered
3.8",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
367,Data Engineer / Application Engineer,₹400K - ₹980K (Glassdoor Est.),-1,"Indira
4.5",Indore,-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
368,Data Engineer / Application Engineer,₹400K - ₹980K (Glassdoor Est.),-1,"Indira
4.5",Indore,-1,-1,-1,-1,-1,-1,-1,-1
369,Machine Learning Engineer/ Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Dürr AG
3.6",Noida,-1,10000+ Employees,-1,Company - Public,Industrial Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
370,Machine Learning Engineer/ Data Scientist,₹400K - ₹980K (Glassdoor Est.),-1,"Dürr AG
3.6",Noida,-1,-1,-1,-1,-1,-1,-1,-1
371,Senior Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"CoreCompete
4.1",Hyderābād,-1,201 to 500 Employees,2012,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
372,Senior Specialist - Data Analyst,₹691K - ₹931K (Glassdoor Est.),-1,"Philips
3.9",Bangalore,-1,10000+ Employees,1891,Company - Public,Health Care Services & Hospitals,Health Care,$10 to $25 million (USD),-1
373,Sr. Data Scientist / Machine learning Expert,₹691K - ₹931K (Glassdoor Est.),-1,"Bidgely
3.8",Bangalore,-1,51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
374,Jr Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"adidas
3.9",Gurgaon,-1,10000+ Employees,1949,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
375,AI Resident - Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"Shell
4.1",Bangalore,-1,10000+ Employees,1907,Company - Public,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
376,Senior Actuarial Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"Swiss Re
3.9",Bangalore,-1,10000+ Employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1
377,Senior Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"Karvy Analytics
2.4",Hyderābād,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
378,Data Analyst,₹691K - ₹931K (Glassdoor Est.),-1,"Astegic
3.9",Maharashtra,-1,51 to 200 Employees,2003,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
379,Data Scientist: NLP,₹691K - ₹931K (Glassdoor Est.),-1,Fractal.ai,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
380,Senior Associate - Data Science,₹691K - ₹931K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
381,Senior Associate - Data Science,₹691K - ₹931K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
382,Senior Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"Applied Data Finance
4.4",Chennai,-1,51 to 200 Employees,2014,Company - Private,Lending,Finance,Unknown / Non-Applicable,-1
383,Data Scientist/Analyst - Machine Learning/Deep Learning,₹691K - ₹931K (Glassdoor Est.),-1,"Fullestop
3.4",Jaipur,-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),-1
384,SPLUNK Security Analytics-Consultant,₹691K - ₹931K (Glassdoor Est.),-1,"Appirio
4.1",Bangalore,-1,1001 to 5000 Employees,2006,Company - Private,Consulting,Business Services,$100 to $500 million (USD),-1
385,SPLUNK Security Analytics-Consultant,₹691K - ₹931K (Glassdoor Est.),-1,"Appirio
4.1",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
386,Data Analyst,₹691K - ₹931K (Glassdoor Est.),-1,"ASSPL - Karnataka
4.3",Bangalore,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
387,CIEL/SEL/13974: Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"CIEL HR Services
4.3",Bangalore,-1,201 to 500 Employees,2015,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
388,Business Analyst - Data Science,₹691K - ₹931K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,10000+ Employees,1997,Company - Public,IT Services,Information Technology,$2 to $5 billion (USD),-1
389,Business Analyst - Data Science,₹691K - ₹931K (Glassdoor Est.),-1,"Genpact
3.8",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
390,Data Analyst,₹691K - ₹931K (Glassdoor Est.),-1,"Entrolabs It solutions
4.3",Vijayawāda,-1,1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
391,Data Analyst,₹691K - ₹931K (Glassdoor Est.),-1,"Anyone Home
3.5",Pune,-1,201 to 500 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
392,CIEL/SEL/13651: Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"CIEL HR Services
4.3",Bangalore,-1,201 to 500 Employees,2015,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
393,Senior Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"Johnson Controls
3.3",Bangalore,-1,10000+ Employees,1885,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),-1
394,Senior Data Scientist,₹691K - ₹931K (Glassdoor Est.),-1,"Johnson Controls
3.3",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
395,Applied Scientist I,₹691K - ₹931K (Glassdoor Est.),-1,"ADCI - Karnataka
4.3",Bangalore,-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
396,Applied Scientist I,₹691K - ₹931K (Glassdoor Est.),-1,"ADCI - Karnataka
4.3",Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
397,ML Engineer/Statistician/Data Scientist – Pre-IPO Unicorn,₹691K - ₹931K (Glassdoor Est.),-1,CareerXperts,Bangalore,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
398,Data Scientist - Python,₹691K - ₹931K (Glassdoor Est.),-1,Talent500,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
399,Data and Applied Scientist - 2,₹691K - ₹931K (Glassdoor Est.),-1,"Microsoft
4.4",Hyderābād,-1,10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),-1
400,Associate Data Scientist II,₹691K - ₹931K (Glassdoor Est.),-1,UST Global Singapore Pte Limited,Thiruvananthapuram,-1,-1,-1,-1,-1,-1,-1,-1
401,Data Scientist / Quantitative Analyst,₹521K - ₹824K (Glassdoor Est.),-1,Antier Solutions Pvt. Ltd,SAS Nagar,-1,-1,-1,-1,-1,-1,-1,-1
